Memory (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,,,,,,,,
WW00A6,AGVS,MCS Message # 76,ASCII,6.4.2 MCS Message Display,AGVS,,221,,,,,,WW,166,WWA6
WW00A7,AGVS,MCS Message # 77,ASCII,6.4.2 MCS Message Display,AGVS,,222,,,,,,WW,167,WWA7
WW00A8,AGVS,MCS Message # 78,ASCII,6.4.2 MCS Message Display,AGVS,,223,,,,,,WW,168,WWA8
WW00A9,AGVS,MCS Message # 79,ASCII,6.4.2 MCS Message Display,AGVS,,224,,,,,,WW,169,WWA9
WW00AA,AGVS,MCS Message # 80,ASCII,6.4.2 MCS Message Display,AGVS,,225,,,,,,WW,170,WWAA
WW00AB,AGVS,MCS Message # 81,ASCII,6.4.2 MCS Message Display,AGVS,,226,,,,,,WW,171,WWAB
WW00AC,AGVS,MCS Message # 82,ASCII,6.4.2 MCS Message Display,AGVS,,227,,,,,,WW,172,WWAC
WW00AD,AGVS,MCS Message # 83,ASCII,6.4.2 MCS Message Display,AGVS,,228,,,,,,WW,173,WWAD
WW00AE,AGVS,MCS Message # 84,ASCII,6.4.2 MCS Message Display,AGVS,,229,,,,,,WW,174,WWAE
WW00AF,AGVS,MCS Message # 85,ASCII,6.4.2 MCS Message Display,AGVS,,230,,,,,,WW,175,WWAF
WW00B0,AGVS,MCS Message # 86,ASCII,6.4.2 MCS Message Display,AGVS,,231,,,,,,WW,176,WWB0
WW00B1,AGVS,MCS Message # 87,ASCII,6.4.2 MCS Message Display,AGVS,,232,,,,,,WW,177,WWB1
WW00B2,AGVS,MCS Message # 88,ASCII,6.4.2 MCS Message Display,AGVS,,233,,,,,,WW,178,WWB2
WW00B3,AGVS,MCS Message # 89,ASCII,6.4.2 MCS Message Display,AGVS,,234,,,,,,WW,179,WWB3
WW00B4,AGVS,MCS Message # 90,ASCII,6.4.2 MCS Message Display,AGVS,,235,,,,,,WW,180,WWB4
WW00B5,AGVS,MCS Message # 91,ASCII,6.4.2 MCS Message Display,AGVS,,236,,,,,,WW,181,WWB5
WW00B6,AGVS,MCS Message # 92,ASCII,6.4.2 MCS Message Display,AGVS,,237,,,,,,WW,182,WWB6
WW00B7,AGVS,MCS Message # 93,ASCII,6.4.2 MCS Message Display,AGVS,,238,,,,,,WW,183,WWB7
WW00B8,AGVS,MCS Message # 94,ASCII,6.4.2 MCS Message Display,AGVS,,239,,,,,,WW,184,WWB8
WW00B9,AGVS,MCS Message # 95,ASCII,6.4.2 MCS Message Display,AGVS,,240,,,,,,WW,185,WWB9
WW00BA,AGVS,MCS Message # 96,ASCII,6.4.2 MCS Message Display,AGVS,,241,,,,,,WW,186,WWBA
WW00BB,AGVS,MCS Message # 97,ASCII,6.4.2 MCS Message Display,AGVS,,242,,,,,,WW,187,WWBB
WW00BC,AGVS,MCS Message # 98,ASCII,6.4.2 MCS Message Display,AGVS,,243,,,,,,WW,188,WWBC
WW00BD,AGVS,MCS Message # 99,ASCII,6.4.2 MCS Message Display,AGVS,,244,,,,,,WW,189,WWBD
WW00BE,AGVS,MCS Message # 100,ASCII,6.4.2 MCS Message Display,AGVS,,245,,,,,,WW,190,WWBE
WW00BF,AGVS,,,,AGVS,,,,,,,,WW,191,WWBF
WW00C0,AGVS,,,,AGVS,,,,,,,,WW,192,WWC0
WW00C1,AGVS,,,,AGVS,,,,,,,,WW,193,WWC1
WW00C2,AGVS,,,,AGVS,,,,,,,,WW,194,WWC2
WW00C3,AGVS,,,,AGVS,,,,,,,,WW,195,WWC3
WW00C4,AGVS,,,,AGVS,,,,,,,,WW,196,WWC4
WW00C5,AGVS,,,,AGVS,,,,,,,,WW,197,WWC5
WW00C6,AGVS,,,,AGVS,,,,,,,,WW,198,WWC6
WW00C7,AGVS,,,,AGVS,,,,,,,,WW,199,WWC7
WW00C8,AGVS,Interface Clock ,Binary,6.1 Alive Check,AGVS,,55,,,,,,WW,200,WWC8
WW00C9,AGVS,,,,,,56,,,,,,WW,201,WWC9
WW00CA,AGVS,Port1 - Port Mode Status Request,Binary,7.6 Port Mode Change Request,PORT1,,57,,,,,,WW,202,WWCA
WW00CB,AGVS,Port2 - Port Mode Status Request,Binary,7.6 Port Mode Change Request,PORT2,,58,,,,,,WW,203,WWCB
WW00CC,AGVS,,,,,,59,,,,,,WW,204,WWCC
WW00CD,AGVS,,,,,,60,,,,,,WW,205,WWCD
WW00CE,AGVS,AGVS Message Download Index,Binary,6.4.1 AGVS Message Display,AGVS,,61,,,,,,WW,206,WWCE
WW00CF,AGVS,Trigger Equipment,Binary,6.4.1 AGVS Message Display,AGVS,,62,,,,,,WW,207,WWCF
WW00D0,AGVS,Buzzer Flag,Binary,6.4.1 AGVS Message Display,AGVS,,63,,,,,,WW,208,WWD0
WW00D1,AGVS,AGVS Message # 1,ASCII,6.4.1 AGVS Message Display,AGVS,,64,,,,,,WW,209,WWD1
WW00D2,AGVS,AGVS Message # 2,ASCII,6.4.1 AGVS Message Display,AGVS,,65,,,,,,WW,210,WWD2
WW00D3,AGVS,AGVS Message # 3,ASCII,6.4.1 AGVS Message Display,AGVS,,66,,,,,,WW,211,WWD3
WW00D4,AGVS,AGVS Message # 4,ASCII,6.4.1 AGVS Message Display,AGVS,,67,,,,,,WW,212,WWD4
WW00D5,AGVS,AGVS Message # 5,ASCII,6.4.1 AGVS Message Display,AGVS,,68,,,,,,WW,213,WWD5
WW00D6,AGVS,AGVS Message # 6,ASCII,6.4.1 AGVS Message Display,AGVS,,69,,,,,,WW,214,WWD6
WW00D7,AGVS,AGVS Message # 7,ASCII,6.4.1 AGVS Message Display,AGVS,,70,,,,,,WW,215,WWD7
WW00D8,AGVS,AGVS Message # 8,ASCII,6.4.1 AGVS Message Display,AGVS,,71,,,,,,WW,216,WWD8
WW00D9,AGVS,AGVS Message # 9,ASCII,6.4.1 AGVS Message Display,AGVS,,72,,,,,,WW,217,WWD9
WW00DA,AGVS,AGVS Message # 10,ASCII,6.4.1 AGVS Message Display,AGVS,,73,,,,,,WW,218,WWDA
