Memory (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,EQ_Name,,,,,,,Memory Type _ 1,Memory Address,
X00C0,EQP,Load Request ,Boolean,,PORT2,Load_Request,1,AOI_2,,,,,,,X,192,XC0
X00C1,EQP,Unload Request,Boolean,,PORT2,Unload_Request,2,AOI_2,,,,,,,X,193,XC1
X00C2,EQP,Port Exist,Boolean,,PORT2,Port_Exist,3,AOI_2,,,,,,,X,194,XC2
X00C3,EQP,UP_POS,Boolean,,PORT2,LD_UP_POS,4,AOI_2,,,,,,,X,195,XC3
X00C4,EQP,DOWN_POS,Boolean,,PORT2,LD_DOWN_POS,5,AOI_2,,,,,,,X,196,XC4
X00C5,EQP,EQP Status Down,Boolean,,PORT2,Port_Status_Down,6,AOI_2,,,,,,,X,197,XC5
X00C6,EQP,EQP_Parts_Replacement,Boolean,,PORT2,EQP_Parts_Replacement,7,AOI_2,,,,,,,X,198,XC6
X00C7,EQP,EQP_Maintaining,Boolean,,PORT2,EQP_Maintaining,8,AOI_2,,,,,,,X,199,XC7
X00C8,EQP,,Boolean,,PORT2,,9,AOI_2,,,,,,,X,200,XC8
X00C9,EQP,,Boolean,,PORT2,,10,AOI_2,,,,,,,X,201,XC9
X00CA,EQP,,Boolean,,PORT2,,11,AOI_2,,,,,,,X,202,XCA
X00CB,EQP,,Boolean,,PORT2,,12,AOI_2,,,,,,,X,203,XCB
X00CC,EQP,,Boolean,,PORT2,,13,AOI_2,,,,,,,X,204,XCC
X00CD,EQP,,Boolean,,PORT2,,14,AOI_2,,,,,,,X,205,XCD
X00CE,EQP,,Boolean,,PORT2,,15,AOI_2,,,,,,,X,206,XCE
X00CF,EQP,,Boolean,,PORT2,,16,AOI_2,,,,,,,X,207,XCF
X00D0,EQP,Load Request ,Boolean,,PORT1,Load_Request,1,AOI_3,,,,,,,X,208,XD0
X00D1,EQP,Unload Request,Boolean,,PORT1,Unload_Request,2,AOI_3,,,,,,,X,209,XD1
X00D2,EQP,Port Exist,Boolean,,PORT1,Port_Exist,3,AOI_3,,,,,,,X,210,XD2
X00D3,EQP,UP_POS,Boolean,,PORT1,LD_UP_POS,4,AOI_3,,,,,,,X,211,XD3
X00D4,EQP,DOWN_POS,Boolean,,PORT1,LD_DOWN_POS,5,AOI_3,,,,,,,X,212,XD4
X00D5,EQP,EQP Status Down,Boolean,,PORT1,Port_Status_Down,6,AOI_3,,,,,,,X,213,XD5
X00D6,EQP,EQP_Parts_Replacement,Boolean,,PORT1,EQP_Parts_Replacement,7,AOI_3,,,,,,,X,214,XD6
X00D7,EQP,EQP_Maintaining,Boolean,,PORT1,EQP_Maintaining,8,AOI_3,,,,,,,X,215,XD7
X00D8,EQP,,Boolean,,PORT1,,9,AOI_3,,,,,,,X,216,XD8
X00D9,EQP,,Boolean,,PORT1,,10,AOI_3,,,,,,,X,217,XD9
X00DA,EQP,,Boolean,,PORT1,,11,AOI_3,,,,,,,X,218,XDA
X00DB,EQP,,Boolean,,PORT1,,12,AOI_3,,,,,,,X,219,XDB
X00DC,EQP,,Boolean,,PORT1,,13,AOI_3,,,,,,,X,220,XDC
X00DD,EQP,,Boolean,,PORT1,,14,AOI_3,,,,,,,X,221,XDD
X00DE,EQP,,Boolean,,PORT1,,15,AOI_3,,,,,,,X,222,XDE
X00DF,EQP,,Boolean,,PORT1,,16,AOI_3,,,,,,,X,223,XDF
X00E0,EQP,Load Request ,Boolean,,PORT2,Load_Request,1,AOI_3,,,,,,,X,224,XE0
X00E1,EQP,Unload Request,Boolean,,PORT2,Unload_Request,2,AOI_3,,,,,,,X,225,XE1
X00E2,EQP,Port Exist,Boolean,,PORT2,Port_Exist,3,AOI_3,,,,,,,X,226,XE2
X00E3,EQP,UP_POS,Boolean,,PORT2,LD_UP_POS,4,AOI_3,,,,,,,X,227,XE3
X00E4,EQP,DOWN_POS,Boolean,,PORT2,LD_DOWN_POS,5,AOI_3,,,,,,,X,228,XE4
X00E5,EQP,EQP Status Down,Boolean,,PORT2,Port_Status_Down,6,AOI_3,,,,,,,X,229,XE5
X00E6,EQP,EQP_Parts_Replacement,Boolean,,PORT2,EQP_Parts_Replacement,7,AOI_3,,,,,,,X,230,XE6
X00E7,EQP,EQP_Maintaining,Boolean,,PORT2,EQP_Maintaining,8,AOI_3,,,,,,,X,231,XE7
X00E8,EQP,,Boolean,,PORT2,,9,AOI_3,,,,,,,X,232,XE8
X00E9,EQP,,Boolean,,PORT2,,10,AOI_3,,,,,,,X,233,XE9
X00EA,EQP,,Boolean,,PORT2,,11,AOI_3,,,,,,,X,234,XEA
X00EB,EQP,,Boolean,,PORT2,,12,AOI_3,,,,,,,X,235,XEB
X00EC,EQP,,Boolean,,PORT2,,13,AOI_3,,,,,,,X,236,XEC
X00ED,EQP,,Boolean,,PORT2,,14,AOI_3,,,,,,,X,237,XED
X00EE,EQP,,Boolean,,PORT2,,15,AOI_3,,,,,,,X,238,XEE
X00EF,EQP,,Boolean,,PORT2,,16,AOI_3,,,,,,,X,239,XEF
X00F0,EQP,Load Request ,Boolean,,PORT1,Load_Request,1,AOS_1,,,,,,,X,240,XF0
X00F1,EQP,Unload Request,Boolean,,PORT1,Unload_Request,2,AOS_1,,,,,,,X,241,XF1
X00F2,EQP,Port Exist,Boolean,,PORT1,Port_Exist,3,AOS_1,,,,,,,X,242,XF2
X00F3,EQP,UP_POS,Boolean,,PORT1,LD_UP_POS,4,AOS_1,,,,,,,X,243,XF3
X00F4,EQP,DOWN_POS,Boolean,,PORT1,LD_DOWN_POS,5,AOS_1,,,,,,,X,244,XF4
X00F5,EQP,EQP Status Down,Boolean,,PORT1,Port_Status_Down,6,AOS_1,,,,,,,X,245,XF5
X00F6,EQP,EQP_Parts_Replacement,Boolean,,PORT1,EQP_Parts_Replacement,7,AOS_1,,,,,,,X,246,XF6
X00F7,EQP,EQP_Maintaining,Boolean,,PORT1,EQP_Maintaining,8,AOS_1,,,,,,,X,247,XF7
X00F8,EQP,,Boolean,,PORT1,,9,AOS_1,,,,,,,X,248,XF8
X00F9,EQP,,Boolean,,PORT1,,10,AOS_1,,,,,,,X,249,XF9
X00FA,EQP,,Boolean,,PORT1,,11,AOS_1,,,,,,,X,250,XFA
X00FB,EQP,,Boolean,,PORT1,,12,AOS_1,,,,,,,X,251,XFB
X00FC,EQP,,Boolean,,PORT1,,13,AOS_1,,,,,,,X,252,XFC
X00FD,EQP,,Boolean,,PORT1,,14,AOS_1,,,,,,,X,253,XFD
