MemoY (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,EQ_Name,,,,,,,MemoY Type _ 1,MemoY Address,
Y00A5,AGVS,,Boolean,,PORT2,,6,AOI_1,,,,,,,Y,165,Y00A5
Y00A6,AGVS,,Boolean,,PORT2,,7,AOI_1,,,,,,,Y,166,Y00A6
Y00A7,AGVS,,Boolean,,PORT2,,8,AOI_1,,,,,,,Y,167,Y00A7
Y00A8,AGVS,,Boolean,,PORT2,,9,AOI_1,,,,,,,Y,168,Y00A8
Y00A9,AGVS,,Boolean,,PORT2,,10,AOI_1,,,,,,,Y,169,Y00A9
Y00AA,AGVS,,Boolean,,PORT2,,11,AOI_1,,,,,,,Y,170,Y00AA
Y00AB,AGVS,,Boolean,,PORT2,,12,AOI_1,,,,,,,Y,171,Y00AB
Y00AC,AGVS,,Boolean,,PORT2,,13,AOI_1,,,,,,,Y,172,Y00AC
Y00AD,AGVS,,Boolean,,PORT2,,14,AOI_1,,,,,,,Y,173,Y00AD
Y00AE,AGVS,,Boolean,,PORT2,,15,AOI_1,,,,,,,Y,174,Y00AE
Y00AF,AGVS,,Boolean,,PORT2,,16,AOI_1,,,,,,,Y,175,Y00AF
Y00B0,AGVS,To EQ Up,Boolean,,PORT1,To_EQ_Up,1,AOI_2,,,,,,,Y,176,Y00B0
Y00B1,AGVS,To EQ Low,Boolean,,PORT1,To_EQ_Low,2,AOI_2,,,,,,,Y,177,Y00B1
Y00B2,AGVS,CMD reserve Up,Boolean,,PORT1,CMD_reserve_Up,3,AOI_2,,,,,,,Y,178,Y00B2
Y00B3,AGVS,CMD reserve Low,Boolean,,PORT1,CMD_reserve_Low,4,AOI_2,,,,,,,Y,179,Y00B3
Y00B4,AGVS,,Boolean,,PORT1,,5,AOI_2,,,,,,,Y,180,Y00B4
Y00B5,AGVS,,Boolean,,PORT1,,6,AOI_2,,,,,,,Y,181,Y00B5
Y00B6,AGVS,,Boolean,,PORT1,,7,AOI_2,,,,,,,Y,182,Y00B6
Y00B7,AGVS,,Boolean,,PORT1,,8,AOI_2,,,,,,,Y,183,Y00B7
Y00B8,AGVS,,Boolean,,PORT1,,9,AOI_2,,,,,,,Y,184,Y00B8
Y00B9,AGVS,,Boolean,,PORT1,,10,AOI_2,,,,,,,Y,185,Y00B9
Y00BA,AGVS,,Boolean,,PORT1,,11,AOI_2,,,,,,,Y,186,Y00BA
Y00BB,AGVS,,Boolean,,PORT1,,12,AOI_2,,,,,,,Y,187,Y00BB
Y00BC,AGVS,,Boolean,,PORT1,,13,AOI_2,,,,,,,Y,188,Y00BC
Y00BD,AGVS,,Boolean,,PORT1,,14,AOI_2,,,,,,,Y,189,Y00BD
Y00BE,AGVS,,Boolean,,PORT1,,15,AOI_2,,,,,,,Y,190,Y00BE
Y00BF,AGVS,,Boolean,,PORT1,,16,AOI_2,,,,,,,Y,191,Y00BF
Y00C0,AGVS,To EQ Up,Boolean,,PORT2,To_EQ_Up,1,AOI_2,,,,,,,Y,192,Y00C0
Y00C1,AGVS,To EQ Low,Boolean,,PORT2,To_EQ_Low,2,AOI_2,,,,,,,Y,193,Y00C1
Y00C2,AGVS,CMD reserve Up,Boolean,,PORT2,CMD_reserve_Up,3,AOI_2,,,,,,,Y,194,Y00C2
Y00C3,AGVS,CMD reserve Low,Boolean,,PORT2,CMD_reserve_Low,4,AOI_2,,,,,,,Y,195,Y00C3
Y00C4,AGVS,,Boolean,,PORT2,,5,AOI_2,,,,,,,Y,196,Y00C4
Y00C5,AGVS,,Boolean,,PORT2,,6,AOI_2,,,,,,,Y,197,Y00C5
Y00C6,AGVS,,Boolean,,PORT2,,7,AOI_2,,,,,,,Y,198,Y00C6
Y00C7,AGVS,,Boolean,,PORT2,,8,AOI_2,,,,,,,Y,199,Y00C7
Y00C8,AGVS,,Boolean,,PORT2,,9,AOI_2,,,,,,,Y,200,Y00C8
Y00C9,AGVS,,Boolean,,PORT2,,10,AOI_2,,,,,,,Y,201,Y00C9
Y00CA,AGVS,,Boolean,,PORT2,,11,AOI_2,,,,,,,Y,202,Y00CA
Y00CB,AGVS,,Boolean,,PORT2,,12,AOI_2,,,,,,,Y,203,Y00CB
Y00CC,AGVS,,Boolean,,PORT2,,13,AOI_2,,,,,,,Y,204,Y00CC
Y00CD,AGVS,,Boolean,,PORT2,,14,AOI_2,,,,,,,Y,205,Y00CD
Y00CE,AGVS,,Boolean,,PORT2,,15,AOI_2,,,,,,,Y,206,Y00CE
Y00CF,AGVS,,Boolean,,PORT2,,16,AOI_2,,,,,,,Y,207,Y00CF
Y00D0,AGVS,To EQ Up,Boolean,,PORT1,To_EQ_Up,1,AOI_3,,,,,,,Y,208,Y00D0
Y00D1,AGVS,To EQ Low,Boolean,,PORT1,To_EQ_Low,2,AOI_3,,,,,,,Y,209,Y00D1
Y00D2,AGVS,CMD reserve Up,Boolean,,PORT1,CMD_reserve_Up,3,AOI_3,,,,,,,Y,210,Y00D2
Y00D3,AGVS,CMD reserve Low,Boolean,,PORT1,CMD_reserve_Low,4,AOI_3,,,,,,,Y,211,Y00D3
Y00D4,AGVS,,Boolean,,PORT1,,5,AOI_3,,,,,,,Y,212,Y00D4
Y00D5,AGVS,,Boolean,,PORT1,,6,AOI_3,,,,,,,Y,213,Y00D5
Y00D6,AGVS,,Boolean,,PORT1,,7,AOI_3,,,,,,,Y,214,Y00D6
Y00D7,AGVS,,Boolean,,PORT1,,8,AOI_3,,,,,,,Y,215,Y00D7
Y00D8,AGVS,,Boolean,,PORT1,,9,AOI_3,,,,,,,Y,216,Y00D8
Y00D9,AGVS,,Boolean,,PORT1,,10,AOI_3,,,,,,,Y,217,Y00D9
Y00DA,AGVS,,Boolean,,PORT1,,11,AOI_3,,,,,,,Y,218,Y00DA
Y00DB,AGVS,,Boolean,,PORT1,,12,AOI_3,,,,,,,Y,219,Y00DB
Y00DC,AGVS,,Boolean,,PORT1,,13,AOI_3,,,,,,,Y,220,Y00DC
Y00DD,AGVS,,Boolean,,PORT1,,14,AOI_3,,,,,,,Y,221,Y00DD
Y00DE,AGVS,,Boolean,,PORT1,,15,AOI_3,,,,,,,Y,222,Y00DE
Y00DF,AGVS,,Boolean,,PORT1,,16,AOI_3,,,,,,,Y,223,Y00DF
Y00E0,AGVS,To EQ Up,Boolean,,PORT2,To_EQ_Up,1,AOI_3,,,,,,,Y,224,Y00E0
Y00E1,AGVS,To EQ Low,Boolean,,PORT2,To_EQ_Low,2,AOI_3,,,,,,,Y,225,Y00E1
