MemoY (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,,,,,,,,MemoY Type _ 1,MemoY Address,
Y00F9,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,249,YF9
Y00FA,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,250,YFA
Y00FB,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,251,YFB
Y00FC,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,252,YFC
Y00FD,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,253,YFD
Y00FE,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,254,YFE
Y00FF,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,255,YFF
Y0100,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,256,Y100
Y0101,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,257,Y101
Y0102,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,258,Y102
Y0103,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,259,Y103
Y0104,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,260,Y104
Y0105,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,261,Y105
Y0106,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,262,Y106
Y0107,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,263,Y107
Y0108,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,264,Y108
Y0109,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,265,Y109
Y010A,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,266,Y10A
Y010B,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,267,Y10B
Y010C,AGVS,Port_Mode_Change_Request,Boolean,,PORT1,Port_Mode_Change_Request,,TS_1,,,,,,,Y,268,Y10C
Y010D,AGVS,Port_Mode_Changed_Report_Reply,Boolean,,PORT1,Port_Mode_Changed_Report_Reply,,TS_1,,,,,,,Y,269,Y10D
